,Unnamed: 0.1,Unnamed: 0,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,review rate number,calculated host listings count,availability 365,house_rules,availability_365
0,0,22264,13297743,HOME AWAY FROM HOME 4 Guest private,89446999139,verified,Kevin,Staten Island,West Brighton,40.63168,-74.12316,United States,US,False,strict,Private room,2021.0,868,$174 ,2.0,12.0,4.0,3.0,279.0,,279.0
1,1,41430,23883125,Sonder | Stock Exchange | Lively 1BR + Lounge,20634787135,verified,Sonder (NYC),Manhattan,Financial District,40.70569,-74.01077,United States,US,False,strict,Entire home/apt,2018.0,466,$93 ,2.0,8.0,4.0,327.0,349.0,,349.0
2,2,18937,11460241,"Huge, Sunny Apartment on Bushwick/Bed Stuy Border!",21398155093,verified,Ryan,Brooklyn,Bedford-Stuyvesant,40.69377,-73.9307,United States,US,False,moderate,Entire home/apt,2020.0,1192,$238 ,2.0,8.0,5.0,1.0,10.0,"Please no parties, guests, and loud noise past 11p out of respect for neighbors and my roommates. Please no smoking inside the building. If you cook or otherwise eat in the apartment, please reasonably clean up after yourself.",10.0
3,3,46214,26525328,Spacious and stylish 2BR in NoMad - brand new,65151797756,verified,Martin,Manhattan,Chelsea,40.74546,-73.99099,United States,US,True,strict,Entire home/apt,2016.0,1134,$227 ,3.0,0.0,2.0,3.0,140.0,"1. Only the ORIGINAL OCCUPANTS at the time of booking are allowed to stay in the property overnight and secondly no additional guest will be brought in without prior authorization. 2. Excessive NOISE & DISTURBANCES, specifically on work nights (Sunday thru Thursday) are to be kept to a minimum after 10pm. On other nights of the week we ask that noise is kept to a controlled, restrained and respectable level do to the nature of this being a shared space.  3. SMOKING is not permitted in any of the inside premisses, this includes the guest room, condo unit and building. You may smoke outside in the street or on the outdoor patio. 4. DAMAGES to the property and it's contents (within the bedroom and the condo itself) will be subject to reinstitution in accordance to airbnb rules and regulations and may lead to the immediate dismissal from the property. 5. WASHER & DRYER is available for use by the guest free of charge but under the condition that we (the host) are present at the time of use",140.0
4,4,12702,8016651,Best Neighborhood Brand New 1 BDRM!,50275229043,verified,Maky,Manhattan,Lower East Side,40.72082,-73.98728,United States,US,True,moderate,Entire home/apt,2007.0,350,$70 ,1.0,130.0,2.0,1.0,36.0,"WHEN BOOKING, PLEASE PROVIDE THE FOLLOWING IN YOUR MESSAGE to me:  - 1. Total number of guests (adults, children, babies)? Are there any elderly or children under 18? If so, what are their ages?  - 2. Arrival Date AND Time of Check In? (Check In between 2 pm and 9 pm with some leniency)  - 3. Departure Date (Check out before 12 pm/noon ideally)  - 4. Please tell me a little about yourselves and the purpose of your trip.  - 5. What Other Needs or Special Requests or Extra Options (please read below for additional options and possible related additional fees).  ------  PLEASE NOTE THE FOLLOWING BEFORE REQUESTING A BOOKING:  * I will reply as soon as possible to let you know if my apartment will be available for ALL your needs.  - 1. We are happy to host Friendly, Neat, Low-Maintainence Adults & Well-Behaved Children.  ---- All cookware and utensils in the kitchen are at your disposal. There will be water (brita) and basic condiments provided for you. We ask that you rinse whatever dishes",36.0
5,5,53175,30369889,Modern Condo with Private Backyard in Brooklyn,97382869957,verified,Felix,Brooklyn,Bushwick,40.69066,-73.91207,United States,US,True,moderate,Entire home/apt,2021.0,455,$91 ,4.0,4.0,4.0,1.0,140.0,,140.0
6,6,95462,53724999,NEW Perfect private room near Two Bridges IV,20618550737,unconfirmed,Max,Manhattan,Lower East Side,40.71252,-73.98765,United States,US,False,flexible,Private room,2012.0,276,$55 ,15.0,0.0,3.0,28.0,185.0,No smoking  Not pets  No parties or events No candles,185.0
7,7,93579,52685018,Comfortable 1 Bedroom Gem in Chinatown / Lil Italy,13694243666,verified,Michelle,Manhattan,Chinatown,40.71735,-73.99956,United States,US,True,flexible,Entire home/apt,2010.0,54,$11 ,1.0,73.0,,1.0,183.0,"This is a non-smoking building. Absolutely no smoking of any kind is permitted. Please respect that this is a quiet, peaceful building; please keep the volume of voice and television at a reasonable level. No pets, please.",183.0
8,8,7882,5354565,Private Bedroom near Time Square,43422104005,unconfirmed,Tianhui,Manhattan,Theater District,40.76257,-73.98574,United States,US,True,flexible,Private room,2017.0,200,$40 ,1.0,1.0,3.0,1.0,207.0,No smoking and no parties,207.0
9,9,73678,41693695,Luxury appartement!,1130756501,verified,Déborah,Brooklyn,Williamsburg,40.71017,-73.941,United States,US,True,flexible,Entire home/apt,2012.0,71,$14 ,3.0,9.0,2.0,1.0,0.0,,0.0
